"audience_name","user_id","raw_value"
Novo Cashback - 16/12,43185795,280.000000000
Novo Cashback - 16/12,43243910,100.000000000
Novo Cashback - 16/12,43234867,100.000000000
Novo Cashback - 16/12,43182137,80.000000000
Novo Cashback - 16/12,43278814,66.000000000
Novo Cashback - 16/12,43199795,60.000000000
Novo Cashback - 16/12,43166341,60.000000000
Novo Cashback - 16/12,43232280,58.000000000
Novo Cashback - 16/12,43175615,50.000000000
Novo Cashback - 16/12,43295672,50.000000000
Novo Cashback - 16/12,43194723,49.000000000
Novo Cashback - 16/12,43166485,47.000000000
Novo Cashback - 16/12,43290600,40.000000000
Novo Cashback - 16/12,43199970,37.000000000
Novo Cashback - 16/12,43216909,35.000000000
Novo Cashback - 16/12,43176925,30.000000000
Novo Cashback - 16/12,43218317,30.000000000
Novo Cashback - 16/12,43191335,28.000000000
Novo Cashback - 16/12,43296782,25.000000000
Novo Cashback - 16/12,43206777,25.000000000
Novo Cashback - 16/12,43250189,20.000000000
Novo Cashback - 16/12,43209017,20.000000000
Novo Cashback - 16/12,43281864,20.000000000
Novo Cashback - 16/12,43287357,20.000000000
Novo Cashback - 16/12,43199550,17.000000000
Novo Cashback - 16/12,43210028,15.000000000
Novo Cashback - 16/12,43279688,10.000000000
Novo Cashback - 16/12,43186068,10.000000000
Novo Cashback - 16/12,43182523,10.000000000
Novo Cashback - 16/12,43293818,10.000000000
Novo Cashback - 16/12,43286345,10.000000000
Novo Cashback - 16/12,43174178,10.000000000
Novo Cashback - 16/12,43211162,10.000000000
Novo Cashback - 16/12,43212456,10.000000000
Novo Cashback - 16/12,43202485,8.000000000
Novo Cashback - 16/12,43237337,5.000000000
Novo Cashback - 16/12,43216292,5.000000000
